Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2006","2006","tonnes","180","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2007","2007","tonnes","51","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2008","2008","tonnes","685","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2009","2009","tonnes","4021","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2010","2010","tonnes","3106","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2011","2011","tonnes","2970","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2012","2012","tonnes","1977","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2013","2013","tonnes","1963","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2014","2014","tonnes","1401","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2015","2015","tonnes","631","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2016","2016","tonnes","551","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2017","2017","tonnes","578","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","16","Flour, wheat","2018","2018","tonnes","802","Im","FAO data based on imputation methodology"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2000","2000","1000 US$","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2001","2001","1000 US$","752","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2002","2002","1000 US$","776","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2003","2003","1000 US$","879","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2004","2004","1000 US$","566","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2005","2005","1000 US$","362","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2006","2006","1000 US$","39","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2007","2007","1000 US$","21","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2008","2008","1000 US$","409","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2009","2009","1000 US$","2994","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2010","2010","1000 US$","746","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2011","2011","1000 US$","2214","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2012","2012","1000 US$","1090","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2013","2013","1000 US$","660","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2014","2014","1000 US$","1267","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2015","2015","1000 US$","303","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2016","2016","1000 US$","262","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2017","2017","1000 US$","302","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","16","Flour, wheat","2018","2018","1000 US$","458","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2000","2000","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2001","2001","tonnes","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2002","2002","tonnes","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2003","2003","tonnes","60","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2004","2004","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2005","2005","tonnes","30","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2006","2006","tonnes","1","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2007","2007","tonnes","26","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2008","2008","tonnes","3","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2009","2009","tonnes","11","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2010","2010","tonnes","39","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2011","2011","tonnes","23","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2012","2012","tonnes","32","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2013","2013","tonnes","1","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2014","2014","tonnes","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2015","2015","tonnes","15","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2016","2016","tonnes","9","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","57","Germ, maize","2017","2017","tonnes","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2000","2000","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2001","2001","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2002","2002","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2003","2003","1000 US$","17","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2004","2004","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2005","2005","1000 US$","16","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2006","2006","1000 US$","0","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2007","2007","1000 US$","12","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2008","2008","1000 US$","1","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2009","2009","1000 US$","9","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2010","2010","1000 US$","10","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2011","2011","1000 US$","11","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2012","2012","1000 US$","4","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2013","2013","1000 US$","1","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2014","2014","1000 US$","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2015","2015","1000 US$","7","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2016","2016","1000 US$","3","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","57","Germ, maize","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2000","2000","tonnes","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2001","2001","tonnes","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2002","2002","tonnes","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2003","2003","tonnes","101","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2004","2004","tonnes","25","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2005","2005","tonnes","22","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2006","2006","tonnes","22","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2007","2007","tonnes","22","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2008","2008","tonnes","1","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2009","2009","tonnes","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2010","2010","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2011","2011","tonnes","3","","Official data"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2012","2012","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5910","Export Quantity","57","Germ, maize","2013","2013","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2000","2000","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2001","2001","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2002","2002","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2003","2003","1000 US$","36","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2004","2004","1000 US$","19","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2005","2005","1000 US$","14","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2006","2006","1000 US$","14","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2007","2007","1000 US$","14","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2008","2008","1000 US$","1","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2009","2009","1000 US$","0","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2010","2010","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2011","2011","1000 US$","2","","Official data"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2012","2012","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5922","Export Value","57","Germ, maize","2013","2013","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2000","2000","tonnes","3500","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2001","2001","tonnes","33","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2002","2002","tonnes","1643","*","Unofficial figure"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2003","2003","tonnes","18648","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2004","2004","tonnes","10780","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2005","2005","tonnes","14533","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2006","2006","tonnes","14416","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2007","2007","tonnes","58956","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2008","2008","tonnes","32861","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2009","2009","tonnes","33319","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2010","2010","tonnes","141992","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2011","2011","tonnes","194746","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2012","2012","tonnes","221047","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2013","2013","tonnes","171096","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2014","2014","tonnes","304903","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","56","Maize","2015","2015","tonnes","281121","","Official data"
